,Star Name,Distance,Mass,Radius
0,SDSS J000013.54+255418.6 [de],SDSS J000013.54+255418.6 [de],SDSS J000013.54+255418.6 [de],SDSS J000013.54+255418.6 [de]
1,2MASS J08283419-1309198,2MASS J08283419-1309198,2MASS J08283419-1309198,2MASS J08283419-1309198
2,2MASS J00040288-6410358,2MASS J00040288-6410358,2MASS J00040288-6410358,2MASS J00040288-6410358
3,LHS 102BC,LHS 102BC,LHS 102BC,LHS 102BC
4,2MASS J00242463-0158201,2MASS J00242463-0158201,2MASS J00242463-0158201,2MASS J00242463-0158201
5,2MASS J00250365+4759191AB,2MASS J00250365+4759191AB,2MASS J00250365+4759191AB,2MASS J00250365+4759191AB
6,2MASS J00274197+0503417,2MASS J00274197+0503417,2MASS J00274197+0503417,2MASS J00274197+0503417
7,2MASS J00275592+2219328,2MASS J00275592+2219328,2MASS J00275592+2219328,2MASS J00275592+2219328
8,2MASSW J0030300-145033,2MASSW J0030300-145033,2MASSW J0030300-145033,2MASSW J0030300-145033
9,2MASS J00332386-1521309 [de],2MASS J00332386-1521309 [de],2MASS J00332386-1521309 [de],2MASS J00332386-1521309 [de]
10,2MASS J00345157+0523050,2MASS J00345157+0523050,2MASS J00345157+0523050,2MASS J00345157+0523050
11,2MASS 0036+1821,2MASS 0036+1821,2MASS 0036+1821,2MASS 0036+1821
12,2MASSW J0045214+163445,2MASSW J0045214+163445,2MASSW J0045214+163445,2MASSW J0045214+163445
13,WISEP J004701.06+680352.1 [fr],WISEP J004701.06+680352.1 [fr],WISEP J004701.06+680352.1 [fr],WISEP J004701.06+680352.1 [fr]
14,2MASS J00501994-3322402 [de],2MASS J00501994-3322402 [de],2MASS J00501994-3322402 [de],2MASS J00501994-3322402 [de]
15,2MASS J00034227-2822410,2MASS J00034227-2822410,2MASS J00034227-2822410,2MASS J00034227-2822410
16,2MASS J00584253-0651239 [de],2MASS J00584253-0651239 [de],2MASS J00584253-0651239 [de],2MASS J00584253-0651239 [de]
17,CFBDS J005910.90–011401.3,CFBDS J005910.90–011401.3,CFBDS J005910.90–011401.3,CFBDS J005910.90–011401.3
18,2MASSI J0103320+193536,2MASSI J0103320+193536,2MASSI J0103320+193536,2MASSI J0103320+193536
19,SDSSp J010752.33+004156.1 [de],SDSSp J010752.33+004156.1 [de],SDSSp J010752.33+004156.1 [de],SDSSp J010752.33+004156.1 [de]
20,2MASSI J0117474-340325 [de],2MASSI J0117474-340325 [de],2MASSI J0117474-340325 [de],2MASSI J0117474-340325 [de]
21,2MASS J01415823-4633574 [de],2MASS J01415823-4633574 [de],2MASS J01415823-4633574 [de],2MASS J01415823-4633574 [de]
22,SDSS J015141.69+124429.6,SDSS J015141.69+124429.6,SDSS J015141.69+124429.6,SDSS J015141.69+124429.6
23,DENIS-P J020529.0−115925A,DENIS-P J020529.0−115925A,DENIS-P J020529.0−115925A,DENIS-P J020529.0−115925A
24,DENIS-P J020529.0−115925B,DENIS-P J020529.0−115925B,DENIS-P J020529.0−115925B,DENIS-P J020529.0−115925B
25,DENIS-P J020529.0−115925C,DENIS-P J020529.0−115925C,DENIS-P J020529.0−115925C,DENIS-P J020529.0−115925C
26,SDSS J020742.48+000056.2 [de],SDSS J020742.48+000056.2 [de],SDSS J020742.48+000056.2 [de],SDSS J020742.48+000056.2 [de]
27,2MASS J02103857-3015313,2MASS J02103857-3015313,2MASS J02103857-3015313,2MASS J02103857-3015313
28,2MASS J02340093-6442068,2MASS J02340093-6442068,2MASS J02340093-6442068,2MASS J02340093-6442068
29,2MASS J02411151-0326587 [de],2MASS J02411151-0326587 [de],2MASS J02411151-0326587 [de],2MASS J02411151-0326587 [de]
30,2MASS J02431371−2453298,2MASS J02431371−2453298,2MASS J02431371−2453298,2MASS J02431371−2453298
31,LP 771-21,LP 771-21,LP 771-21,LP 771-21
32,2MASS J02511327+0047364,2MASS J02511327+0047364,2MASS J02511327+0047364,2MASS J02511327+0047364
33,Teegarden's star,Teegarden's star,Teegarden's star,Teegarden's star
34,2MASS J02535980+3206373,2MASS J02535980+3206373,2MASS J02535980+3206373,2MASS J02535980+3206373
35,WISE J0254+0223,WISE J0254+0223,WISE J0254+0223,WISE J0254+0223
36,DEN 0255-4700,DEN 0255-4700,DEN 0255-4700,DEN 0255-4700
37,2MASS J03185403-3421292 [de],2MASS J03185403-3421292 [de],2MASS J03185403-3421292 [de],2MASS J03185403-3421292 [de]
38,2MASS J03205965+1854233,2MASS J03205965+1854233,2MASS J03205965+1854233,2MASS J03205965+1854233
39,2MASS J03231002-4631237,2MASS J03231002-4631237,2MASS J03231002-4631237,2MASS J03231002-4631237
40,SDSS J032553.17+042540.1,SDSS J032553.17+042540.1,SDSS J032553.17+042540.1,SDSS J032553.17+042540.1
41,2MASS J03264225-2102057 [de],2MASS J03264225-2102057 [de],2MASS J03264225-2102057 [de],2MASS J03264225-2102057 [de]
42,2MASS J03284265+2302051 [de],2MASS J03284265+2302051 [de],2MASS J03284265+2302051 [de],2MASS J03284265+2302051 [de]
43,2MASS J03341218-4953322,2MASS J03341218-4953322,2MASS J03341218-4953322,2MASS J03341218-4953322
44,LP 944-20,LP 944-20,LP 944-20,LP 944-20
45,2MASP J0345432+254023,2MASP J0345432+254023,2MASP J0345432+254023,2MASP J0345432+254023
46,Teide 1,Teide 1,Teide 1,Teide 1
47,2MASS J03510004-0052452,2MASS J03510004-0052452,2MASS J03510004-0052452,2MASS J03510004-0052452
48,2MASS J03552337+1133437,2MASS J03552337+1133437,2MASS J03552337+1133437,2MASS J03552337+1133437
49,DENIS-P J035726.9-441730 [de],DENIS-P J035726.9-441730 [de],DENIS-P J035726.9-441730 [de],DENIS-P J035726.9-441730 [de]
50,2MASS J04151954−0935066,2MASS J04151954−0935066,2MASS J04151954−0935066,2MASS J04151954−0935066
51,SDSSp J042348.57-041403.5 [de],SDSSp J042348.57-041403.5 [de],SDSSp J042348.57-041403.5 [de],SDSSp J042348.57-041403.5 [de]
52,2MASS J04285096-2253227 [de],2MASS J04285096-2253227 [de],2MASS J04285096-2253227 [de],2MASS J04285096-2253227 [de]
53,2MASS J04351612-1606574,2MASS J04351612-1606574,2MASS J04351612-1606574,2MASS J04351612-1606574
54,2MASS J04362788-4114465,2MASS J04362788-4114465,2MASS J04362788-4114465,2MASS J04362788-4114465
55,2MASS J04390101-2353083 [de],2MASS J04390101-2353083 [de],2MASS J04390101-2353083 [de],2MASS J04390101-2353083 [de]
56,2MASS J04414489+2301513,2MASS J04414489+2301513,2MASS J04414489+2301513,2MASS J04414489+2301513
57,2MASS J04433764+0002040,2MASS J04433764+0002040,2MASS J04433764+0002040,2MASS J04433764+0002040
58,2MASS J04455387-3048204 [de],2MASS J04455387-3048204 [de],2MASS J04455387-3048204 [de],2MASS J04455387-3048204 [de]
59,2MASS J04510093-3402150 [de],2MASS J04510093-3402150 [de],2MASS J04510093-3402150 [de],2MASS J04510093-3402150 [de]
60,2MASS J05002100+0330501 [de],2MASS J05002100+0330501 [de],2MASS J05002100+0330501 [de],2MASS J05002100+0330501 [de]
61,2MASS J05012406-0010452 [de],2MASS J05012406-0010452 [de],2MASS J05012406-0010452 [de],2MASS J05012406-0010452 [de]
62,2MASS J05160945-0445499 [de],2MASS J05160945-0445499 [de],2MASS J05160945-0445499 [de],2MASS J05160945-0445499 [de]
63,2MASS J0523−1403,2MASS J0523−1403,2MASS J0523−1403,2MASS J0523−1403
64,2MASS 0532+8246,2MASS 0532+8246,2MASS 0532+8246,2MASS 0532+8246
65,SDSS J053951.99-005902.0,SDSS J053951.99-005902.0,SDSS J053951.99-005902.0,SDSS J053951.99-005902.0
66,2MASS J05591914-1404488 [de],2MASS J05591914-1404488 [de],2MASS J05591914-1404488 [de],2MASS J05591914-1404488 [de]
67,LSR 0602+3910 [de],LSR 0602+3910 [de],LSR 0602+3910 [de],LSR 0602+3910 [de]
68,2MASS J06085283-2753583,2MASS J06085283-2753583,2MASS J06085283-2753583,2MASS J06085283-2753583
69,WISEP J061135.13-041024.0A,WISEP J061135.13-041024.0A,WISEP J061135.13-041024.0A,WISEP J061135.13-041024.0A
70,WISEP J061135.13-041024.0B,WISEP J061135.13-041024.0B,WISEP J061135.13-041024.0B,WISEP J061135.13-041024.0B
71,2MASS J06244595-4521548 [de],2MASS J06244595-4521548 [de],2MASS J06244595-4521548 [de],2MASS J06244595-4521548 [de]
72,2MASS J06411840-4322329 [de],2MASS J06411840-4322329 [de],2MASS J06411840-4322329 [de],2MASS J06411840-4322329 [de]
73,DENIS-P J0652197-253450 [de],DENIS-P J0652197-253450 [de],DENIS-P J0652197-253450 [de],DENIS-P J0652197-253450 [de]
74,2MASS J07003664+3157266 [de],2MASS J07003664+3157266 [de],2MASS J07003664+3157266 [de],2MASS J07003664+3157266 [de]
75,2MASS J07075327-4900503,2MASS J07075327-4900503,2MASS J07075327-4900503,2MASS J07075327-4900503
76,UGPS J072227.51-054031.2,UGPS J072227.51-054031.2,UGPS J072227.51-054031.2,UGPS J072227.51-054031.2
77,2MASSI J0727182+171001 [de],2MASSI J0727182+171001 [de],2MASSI J0727182+171001 [de],2MASSI J0727182+171001 [de]
78,2MASS J07290002-3954043 [de],2MASS J07290002-3954043 [de],2MASS J07290002-3954043 [de],2MASS J07290002-3954043 [de]
79,SDSS J074201.41+205520.5 [de],SDSS J074201.41+205520.5 [de],SDSS J074201.41+205520.5 [de],SDSS J074201.41+205520.5 [de]
80,2MASS J0746425+200032 [fr],2MASS J0746425+200032 [fr],2MASS J0746425+200032 [fr],2MASS J0746425+200032 [fr]
81,DENIS-P J0751164-253043 [de],DENIS-P J0751164-253043 [de],DENIS-P J0751164-253043 [de],DENIS-P J0751164-253043 [de]
82,2MASS J07522390+1612157,2MASS J07522390+1612157,2MASS J07522390+1612157,2MASS J07522390+1612157
